coc_number,coc_name,unshelteredhomeless,unsheltered*1.4,sheltered,sheltered*.5,total,real_total,hospitalizations_15,critical_care_15,fatalities_15,hospitalizations_20,critical_care_20,fatalities_20
,"United States, nationwide",211293,295810,197598,98891,394628,493408,21298,7146,3461,25356,10244,4948
AK-500,Anchorage CoC,97,136,702,351,487,838,36,12,6,43,17,8
AK-501,Alaska Balance of State CoC,176,246,416,208,454,662,29,10,5,34,14,7
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",326,456,466,233,689,922,40,13,6,47,19,9
AL-501,Mobile City & County/Baldwin County CoC,202,283,150,75,358,433,19,6,3,22,9,4
AL-502,Florence/Northwest Alabama CoC,201,281,182,91,372,463,20,7,3,24,10,5
AL-503,Huntsville/North Alabama CoC,87,122,253,127,248,375,16,5,3,19,8,4
AL-504,Montgomery City & County CoC,57,80,171,86,165,251,11,4,2,13,5,3
AL-505,Gadsden/Northeast Alabama CoC,149,209,62,31,240,271,12,4,2,14,6,3
AL-506,Tuscaloosa City & County CoC,0,0,27,14,14,27,1,0,0,1,1,0
AL-507,Alabama Balance of State CoC,169,237,89,45,281,326,14,5,2,17,7,3
AR-500,Little Rock/Central Arkansas CoC,573,802,355,178,980,1157,50,17,8,59,24,12
AR-501,Fayetteville/Northwest Arkansas CoC,237,332,223,112,443,555,24,8,4,29,12,6
AR-503,Arkansas  Balance of State  CoC,545,763,232,116,879,995,43,14,7,51,21,10
AR-505,Southeast Arkansas CoC,0,0,35,18,18,35,2,1,0,2,1,0
AR-508,Fort Smith CoC,60,84,127,64,148,211,9,3,1,11,4,2
AZ-500,Arizona Balance of State CoC,983,1376,682,341,1717,2058,89,30,14,106,43,21
AZ-501,Tucson/Pima County CoC,361,505,639,320,825,1144,49,17,8,59,24,11
AZ-502,"Phoenix, Mesa/Maricopa County CoC",3188,4463,1718,859,5322,6181,267,90,43,318,128,62
CA-500,San Jose/Santa Clara City & County CoC,7922,11091,1089,545,11635,12180,526,176,85,626,253,122
CA-501,San Francisco CoC,5180,7252,2232,1116,8368,9484,409,137,66,487,197,95
CA-502,"Oakland, Berkeley/Alameda County CoC",6312,8837,1185,593,9429,10022,433,145,70,515,208,100
CA-503,Sacramento City & County CoC,3900,5460,1096,548,6008,6556,283,95,46,337,136,66
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",1957,2740,741,371,3110,3481,150,50,24,179,72,35
CA-505,Richmond/Contra Costa County CoC,1627,2278,477,239,2516,2755,119,40,19,142,57,28
CA-506,"Salinas/Monterey, San Benito Counties CoC",1998,2797,342,171,2968,3139,135,45,22,161,65,31
CA-507,Marin County CoC,708,991,196,98,1089,1187,51,17,8,61,25,12
CA-508,Watsonville/Santa Cruz City & County CoC,1700,2380,271,136,2516,2651,114,38,19,136,55,27
CA-509,Mendocino County CoC,538,753,152,76,829,905,39,13,6,47,19,9
CA-510,"Turlock, Modesto/Stanislaus County CoC",1088,1523,499,250,1773,2022,87,29,14,104,42,20
